369,Kākāpō,Kākā,Bittern,"Banded Dotterel","New Zealand Dotterel"
370,"Yellow-eyed penguin","South Island Kōkako","Fairy Tern","Chatham Island Oystercatcher","Little Spotted Kiwi"
371,"Banded Dotterel","South Island Kōkako","Orange-fronted Parakeet","Yellow-eyed penguin","Grey Duck"
372,Kākāpō,Kākā,Kererū,Kea,Kōkako
373,"Yellow-eyed penguin","Banded Dotterel"
374,Tomtit,"New Zealand Dotterel","Black Robin","Orange-fronted Parakeet",Kākā
375,"Rockhopper Penguin"
376,Kākāpō
377,"Black-billed Gull","Fiordland Crested Penguin",Kea,"New Zealand Dotterel","Yellow-eyed penguin"
378,"Fairy Tern",Kākāpō,"Antipodean Albatross","The Otago Shag","New Zealand Dabchick"
379,"South Island Kōkako","Yellow-eyed penguin","Fairy Tern",Kākāpō,Kākā
380,"New Zealand Falcon",Harrier,"Black Robin","Barn Owl",Wrybill
383,Rifleman,"Orange-fronted Parakeet",Kererū,Bellbird,"Yellow-eyed penguin"
384,"Yellow-eyed penguin",Silvereye,Saddleback,Kōkako,"Rockhopper Penguin"
387,Kākāpō,"Orange-fronted Parakeet",Kākā,"Antipodean Albatross","South Island Kōkako"
390,Kererū,"Black Robin","Antipodean Albatross","Gibson's Albatross",Weka
391,Kākāpō,"North Island Brown Kiwi","Little Spotted Kiwi","New Zealand Dotterel",Takahē
392,"Yellow-eyed penguin","Fiordland Crested Penguin","Rockhopper Penguin","Orange-fronted Parakeet",Takahē
393,Tūī,"Banded Dotterel","Yellow-eyed penguin","Fairy Tern","Black Stilt"
395,"Orange-fronted Parakeet",Mōhua,Kākāpō,Kingfisher,Kea
396,Morepork,Takahē,Kākā,Rifleman,Bellbird
397,Wrybill,"Black-fronted Tern","Black-billed Gull","Black Stilt","Banded Dotterel"
398,Kākāpō,Kererū
399,Stitchbird,"Chatham Island Oystercatcher","New Zealand Falcon",Kākā,Kea
400,Takahē,Kākāpō,Kererū,"Little Spotted Kiwi","Southern Brown Kiwi"
401,"Little Penguin","Yellow-eyed penguin",Tomtit,"Black-fronted Tern",Kea
402,"Rock Wren",Kākāpō,"Banded Dotterel",Rifleman,"South Island Kōkako"
403,"Yellow-eyed penguin","Antipodean Albatross","Banded Dotterel",Bittern,"Black Robin"
404,Kākāpō,"Little Spotted Kiwi","Yellow-eyed penguin","Antipodean Albatross","Black Robin"
405,Fantail,Kererū,"Grey Warbler","Black Robin","Banded Dotterel"
406,"Yellow-eyed penguin","Rockhopper Penguin","Fiordland Crested Penguin","Grey Duck","Great Spotted Kiwi"
407,Pūkeko,"Rockhopper Penguin","Southern Royal Albatross","South Polar Skua","Black-billed Gull"
408,"New Zealand Falcon","South Island Kōkako","Antipodean Albatross","Banded Dotterel","Blue Duck"
409,"Shore Plover","Yellow-eyed penguin",Stitchbird,"Black Stilt","Spotted Shag"
410,Takahē
411,Kererū,Kea,Kākā,Kākāpō,"South Island Kōkako"
412,Kōkako,"Blue Duck",Bellbird,Kākā,Kererū
413,Kea,Kākā,Kākāpō,Kōkako,"Black Robin"
414,"Antipodean Albatross","Black Robin","Black Stilt","Whenua Hou Diving Petrel","New Zealand Falcon"
415,Morepork,"Yellow-eyed penguin",Kingfisher,"New Zealand Falcon","Little Penguin"
416,Kākāpō,"Black-billed Gull",Morepork,"Little Penguin","North Island Brown Kiwi"
417,"New Zealand Robin","Rock Wren",Kingfisher,Weka,Tomtit
418,"Orange-fronted Parakeet",Kākā,"Fairy Tern","Shore Plover","Southern Brown Kiwi"
420,"Antipodean Albatross",Kea,Kākāpō,Kererū,Kākā
421,"Royal Spoonbill","Little Penguin","Chatham Island Mollymawk","Barn Owl",Fantail
422,"Yellow-eyed penguin","Little Spotted Kiwi","Antipodean Albatross","Southern Brown Kiwi","The Otago Shag"
423,Rifleman,Kākāpō,Kākā,"Black Robin","Yellow-eyed penguin"
425,Kererū,"Shining Cuckoo",Kingfisher,"Fairy Tern",Morepork
426,Morepork,Kōkako,Kākāpō,Bellbird,Kererū
427,"Black Stilt",Morepork,Kōkako,"Antipodean Albatross","New Zealand Falcon"
428,Stitchbird,Mōhua,"Orange-fronted Parakeet","Rock Wren","Blue Duck"
429,Kererū,Kākā,Kākāpō,"Black-billed Gull","Chatham Island Oystercatcher"
430,"Yellow-eyed penguin","Banded Dotterel","Blue Duck","Black Robin","Orange-fronted Parakeet"
431,Stitchbird,Fantail,"Orange-fronted Parakeet","Little Spotted Kiwi","Black Robin"
433,"Rock Wren",Kōkako,Kākāpō,"Blue Duck",Kākā
434,"Blue Duck",Takahē,Kea,Kākā,Fantail
